"HGNC.symbol","GSM3440208","GSM3440209","GSM3440210","GSM3440211","GSM3440212","GSM3440213","GSM3440215","GSM3440216","GSM3440218","GSM3440219","GSM3440220","GSM3440221","GSM3440225"
"MIR95",1.73299,0.921068,1.28245,0.992611,1.06526,1.34925,0.776791,2.1035,1.4406,1.17889,1.4841,1.8661,1.48514
"MIR96",2.006445,2.04282,2.082335,2.0265,1.848975,2.039925,2.016185,2.06894,2.03148,2.281425,2.107935,2.171935,2.06691
"MIR98",5.74534,5.65503,5.67955,5.57946,5.45371,5.49731,5.31628,5.38059,5.55678,5.49358,5.69194,5.63791,5.64776
"MIR99A",2.974485,3.131915,3.267845,3.275785,3.295855,3.05398,2.92843,3.454215,3.20177,3.27545,3.16758,3.75726,3.34805
"MIR99B",4.26813,4.37382333333333,3.88245333333333,4.22133666666667,4.31866,4.3143,4.24263333333333,4.09827666666667,4.39097,4.48093666666667,4.30994,4.3619,4.45358666666667
"MIRLET7A1",3.7797,3.31958,4.45417,3.70933,4.0051,4.019435,4.09933,3.816135,3.69695,3.329345,4.859475,3.95727,3.841635
"MIRLET7A2",1.62033,1.83635,1.34846,1.26345,0.992938,1.05479,1.50982,0.88122,0.813452,0.937433,0.959959,1.26925,1.16242
"MIRLET7C",2.974485,3.131915,3.267845,3.275785,3.295855,3.05398,2.92843,3.454215,3.20177,3.27545,3.16758,3.75726,3.34805
"MIRLET7D",5.56426,4.69414,5.22279,4.77964,5.29395,5.19721,5.56092,5.17748,5.37242,5.63524,5.61736,4.89886,5.04313
"MIRLET7E",4.26813,4.37382333333333,3.88245333333333,4.22133666666667,4.31866,4.3143,4.24263333333333,4.09827666666667,4.39097,4.48093666666667,4.30994,4.3619,4.45358666666667
"MIRLET7F1",3.7797,3.31958,4.45417,3.70933,4.0051,4.019435,4.09933,3.816135,3.69695,3.329345,4.859475,3.95727,3.841635
"MIRLET7F2",3.75497,3.16308,3.290152,3.477905,3.1169715,3.064844,3.0993305,3.36338,3.378595,3.437475,3.580395,3.37381,3.231895
"MIRLET7G",5.74276,5.74578,6.1033,5.64576,5.91231,5.67859,5.94287,6.2647,5.93259,6.14765,6.26832,6.24231,5.85588
"MIRLET7I",4.39524,4.37658,4.63999,4.48274,4.25346,4.50311,4.13768,4.42675,4.66478,4.3695,4.5731,4.41463,4.08354
"MISP3",4.85168,4.65613,4.43772,4.40541,4.83083,4.63903,4.85836,4.97365,4.60823,5.02319,4.9565,5.01976,4.82186
"MIXL1",3.45878,3.59606,2.80955,3.42617,3.20199,3.32606,3.36174,2.92801,3.1905,3.32755,3.46301,3.31502,3.19556
"MKNK1-AS1",3.95017,3.79482,3.83463,4.4626,4.23235,4.15534,4.31975,3.92955,4.07205,4.15694,3.89718,4.1229,4.29049
"MLEC",6.65194,6.41846,6.68307,6.36175,6.58193,6.84911,6.4957,6.90128,6.69607,6.41578,6.67028,6.6701,6.64414
"MLH1",5.70958,5.35295,6.00362,5.48616,5.5205,5.75305,5.69981,5.61631,5.62735,5.50352,5.46224,5.49789,5.52268
"MLXIP",6.93516,6.57879,6.53383,6.92027,6.57034,6.33114,6.30087,7.14507,6.73194,7.0653,6.93661,6.75154,6.77621
"MLYCD",5.62188,5.300315,5.320515,5.42812,5.058275,5.42717,5.55678,5.17317,5.63602,5.638845,5.81164,5.65207,5.426605
"MME",8.86129,8.36886,7.79796,7.505,8.84678,7.72657,8.88967,8.52348,8.57047,8.22168,8.75817,8.73093,8.91628
"MME-AS1",6.07711,5.46131,4.54043,4.5051,5.57579,4.60691,5.72523,5.6158,5.42766,5.2794,5.83072,5.70749,5.51242
"MMP23A",5.56853,6.17992,5.48611,6.0574,5.91633,5.90827,5.87933,5.6307,5.89525,5.67042,5.53644,5.86171,5.86265
"MMRN1",4.22334,4.87642,5.00138,4.59039,4.44099,4.70052,3.91137,4.83468,4.40467,4.4438,4.94736,4.31519,4.31867
"MOB3C",5.85611,5.78201,5.50412,5.74733,5.85204,5.85124,5.87387,5.85008,5.9382,5.90837,5.954,5.83948,5.86756
"MOCOS",2.84563,2.97833,2.88588,2.82811,2.92649,2.86191,2.90479,2.51209,2.73948,3.16685,2.93782,2.73948,3.4657
"MOCS3",4.99781,4.607,5.22167,4.6784,4.94552,4.79143,4.8263,4.58023,4.76895,4.811,5.1059,4.61578,4.24341
"MON1A",3.07768,3.07207,2.96264,3.30144,3.10857,3.46756,3.35888,3.36674,3.03876,3.16255,2.74919,3.16619,3.23289
"MON2",4.74825,4.72067666666667,4.94735666666667,4.63897333333333,4.62570666666667,4.75077,4.64417666666667,4.92082,4.79479666666667,4.74008666666667,4.74838666666667,4.72669,4.65328333333333
"MORN3",4.47322,4.44381,4.12902,4.35315,4.34301,4.491,4.47755,4.19189,4.20153,4.49743,4.53239,4.49544,4.57986
"MOS",2.98678,3.68971,2.86528,3.44275,3.19077,3.32408,3.36354,2.83208,3.41316,3.129,3.27971,3.53322,3.37862
"MOV10",6.10274,6.10567,6.43882,6.1242,6.30375,6.541,6.60877,6.27233,6.58685,6.30913,6.26555,6.32502,6.38962
"MPHOSPH6",5.50263,5.053,5.87043,5.86433,5.27023,5.25986,5.42481,5.1711,5.86867,5.40737,6.04624,5.13396,5.40892
"MPL",5.06023,5.51336,5.33375,5.58158,5.17173,5.46345,5.26801,5.36799,5.45423,5.54396,5.61053,4.92076,5.40877
"MPP5",4.51922,4.73328,5.46191,4.59008,4.65503,4.84766,4.62233,4.69961,4.41722,4.39873,4.45956,4.77192,4.40277
"MPPE1",7.7094,7.48704,6.97378,7.3323,7.80203,7.48949,7.76978,7.87164,7.32604,7.93542,7.67247,7.69193,7.65129
"MPPED1",4.08478,3.73699,3.85413,4.4139,3.88012,4.11276,3.71425,3.48423,4.09439,4.05943,3.88111,3.83704,3.84947
"MPRIP",3.95170666666667,4.25313666666667,5.34315333333333,4.42306333333333,4.26893333333333,4.67148666666667,4.18872333333333,5.24212,4.37324666666667,4.43817,4.74157,4.79725,3.56339666666667
"MPRIP-AS1",3.94518,3.69176,3.49439,3.55389,3.70046,3.76813,3.80366,3.54152,3.81199,3.85078,3.61306,3.81289,3.90416
"MR1",5.93937,5.54112,5.9498,5.66319,5.80431,6.07706,6.23752,5.96898,6.08085,5.82005,6.08842,5.93886,5.92955
"MRGPRE",4.5964,4.89974,4.70765,4.88129,4.43519,4.36731,4.80513,4.56881,5.00175,4.42185,4.83484,5.13143,4.92185
"MRLN",1.79557,1.37535,1.37832,1.08519,1.22389,1.24165,1.28082,1.67906,1.32299,1.93528,1.41277,1.51586,1.70822
"MROH2A",4.143515,4.2723625,3.9723275,4.3178625,4.1175125,4.2552475,4.1292525,3.9314425,4.155595,4.123405,4.019095,4.02681,4.2385975
"MRPL24",5.1792,4.89066,5.15906,4.90539,4.86879,5.14209,4.88368,5.0187,5.09124,4.80727,5.14711,4.64897,4.87059
"MRPL40",3.9968,3.27863,3.94912,3.79307,3.2035,3.43691,3.42595,3.36788,3.6805,3.68458,3.13311,3.58442,3.58766
"MRPL55",5.31347,5.29392,5.1659,5.33167,5.22045,5.28693,5.19483,5.34335,5.25455,5.25026,5.03681,5.15414,5.2636
"MRPL9",6.15265,6.00158,6.55652,6.13671,5.97648,6.21935,5.9281,6.25127,6.1516,6.14609,6.06192,6.20108,6.10587
"MRPS31P4",5.11396,5.37195,6.12667,4.84517,4.804005,5.266025,4.87796,5.17123,5.348365,5.175765,4.983065,5.045035,4.82379
"MRPS31P5",5.23483428571429,5.35498,5.83078857142857,5.27982857142857,5.25900285714286,5.37849857142857,5.16175,5.23415571428571,5.23328285714286,5.35540142857143,5.26407428571429,5.28882428571429,5.03690857142857
"MRTFA",7.79201,7.35004,7.38459,7.48126,7.58429,7.39638,7.76608,7.72135,7.76842,7.6525,7.84471,7.58001,7.59514
"MRTFA-AS1",4.22835,3.99347,4.46873,4.55395,4.64456,4.86901,4.27804,4.49171,4.84244,4.43591,4.38144,4.30929,4.12973
"MSANTD4",4.60035,4.44558,5.27628,4.81151,4.72431,4.7997,4.42857,5.06193,4.43844,4.56886,4.65222,4.52342,4.34398
"MSH4",2.19256,2.01119,2.21509,2.21226,2.05513,1.94059,2.10957,1.97088,2.12543,2.09326,2.01471,1.99299,1.92404
"MSI1",4.82047,5.02452,4.58836,5.00354,4.9538,5.10697,5.07828,4.49125,4.81412,4.72131,5.00862,4.94768,5.15721
"MSL3P1",2.45835,2.54289,2.68664,3.018,2.40513,2.65895,3.13752,2.82129,2.39934,2.42676,1.98335,2.49147,2.36181
"MST1L",4.04628,4.49124,4.5622,4.512485,4.31189,4.55793,4.5158,4.237675,4.658675,4.507625,4.49236,4.274755,4.5987
"MST1R",3.90007,3.86646,3.8302,4.08729,3.92401,4.01188,4.21208,3.77063,4.0058,4.15821,3.90537,4.00359,4.11997
"MSTO1",4.71386,4.12257,5.10881,4.23979,4.99545,4.39344,4.39513,4.49769,4.85534,4.70516,4.58544,4.25153,4.18166
"MTA1",5.81393,5.78326,6.04347,5.98732,5.67108,5.97751,5.759,6.02432,5.84196,5.90706,5.92325,5.9763,5.88766
"MTHFD1L",4.80653,4.92041,5.03292,4.64524,4.80199,4.87257,4.47117,4.59643,4.83916,4.65188,4.74091,4.69442,4.69442
"MTMR2",4.40751,4.45825,5.11843,4.92594,4.77511,5.13378,4.75951,4.84604,4.58389,4.86075,5.14337,4.82255,4.49089
"MTMR9LP",4.26254,5.13155,4.40772,4.63394,4.56523,4.63522,4.60372,4.16998,4.47776,4.41918,3.90109,4.69428,4.98817
"MTX1",6.07324,5.33708,4.74438,5.2604,5.48484,5.3236,5.41537,5.50419,5.34921,5.62115,5.65411,5.42679,5.39736
"MUC13",2.04531,2.06879,2.10371,1.95418,2.37119,1.94956,2.13559,2.21644,2.11621,2.33766,2.143,1.6627,2.15898
