"HGNC.symbol","GSM3440214","GSM3440217","GSM3440222","GSM3440223","GSM3440224"
"ZNF630-AS1",2.23489,2.27864,2.08825,2.3385,2.08953
"ZNF641",5.99635,6.01923,6.24406,5.18716,5.62984
"ZNF667",2.59379,3.17455,3.02109,2.70093,2.61265
"ZNF667-AS1",4.1977,4.60592,4.7213,4.72117,4.44871
"ZNF671",4.81878,4.89451,4.93069,4.83794,4.90561
"ZNF682",2.69083,3.04786,3.08823,2.85985,3.02885
"ZNF701",5.104025,5.267675,5.25911,5.134035,5.236245
"ZNF702P",3.41883,2.88771,3.02386,3.21128,3.39961
"ZNF71",5.33949,5.31479,5.35013,5.63788,5.11773
"ZNF721",4.31021,3.99278,4.18694,4.3345,4.25577
"ZNF732",1.93452,2.55803,1.75558,2.1199,2.21837
"ZNF749",3.72961,3.41085,3.46976,3.69124,3.70475
"ZNF766",6.45718,6.00588,6.10667,6.27057,5.96553
"ZNF77",4.22624,3.89671,4.20955,4.02676,3.9728
"ZNF772",4.59928,4.48361,4.08797,3.65476,4.15657
"ZNF773",5.46671,5.12766,4.96739,4.77783,5.06287
"ZNF774",3.98759,3.81618,3.9765,3.98905,3.88946
"ZNF776",5.91473,5.77598,5.82349,5.44724,6.01879
"ZNF780A",5.08162,5.14106,5.61792,5.35732,5.38775
"ZNF780B",5.96111,5.72679,6.20082,5.91307,6.33083
"ZNF79",5.30329,5.07092,5.61133,5.31873,5.58884
"ZNF80",2.72385,2.90304,2.75708,3.21687,2.60144
"ZNF800",7.44297,7.4732,7.38118,7.74172,7.58679
"ZNF805",6.11708,5.78542,6.28068,6.28046,6.09642
"ZNF808",5.72676,5.48745,5.65504,5.88311,5.73094
"ZNF81",5.30283,4.46812,4.7218,4.6802,5.17093
"ZNF83",5.25627,4.878,5.60962,5.02263,5.15914
"ZNF835",3.83691,3.65092,3.8947,3.88484,3.94207
"ZNF837",5.01613,5.46434,5.21905,5.34588,5.48488
"ZNF876P",3.11903,2.88111,2.70116,2.90603,3.10216
"ZNF880",5.21282,5.28023,4.91511,5.30455,5.50131
"ZNF888",4.941,4.85887,4.81266,4.57781,4.75905
"ZNF890P",4.133105,4.43542,4.329075,4.543315,4.370935
"ZNF93",4.61019,5.05373,5.07534,5.03918,4.71096
"ZNHIT2",5.30062,5.30022,5.52278,5.28333,5.63184
"ZNHIT6",4.25236,4.2609,4.17719,4.39344,4.22864
"ZNRF2",3.3021,2.45453,1.96797,3.12727,2.95033
"ZP2",2.07657,2.24707,2.03156,2.19062,2.10308
"ZPBP",2.33101,2.34546,2.49859,2.3719,2.71865
"ZSCAN10",4.0457,4.16871,4.24605,4.23987,4.34492
"ZSCAN4",2.29567,2.48101,2.40212,2.76333,2.61443
"ZWILCH",3.80324,3.3611,3.75176,3.62097,3.1486
"AASS",4.43935,4.59169,4.48864,4.59123,4.44865
"AATBC",6.07781,5.16587,5.74798,4.74075,5.49654
"ABAT",6.68452,5.8351,6.21083,5.93252,6.5761
"ABCA4",3.90166,3.79396,4.00052,4.02422,3.92529
"ABCB1",4.64114,4.57392,4.86984,5.00296,5.07866
"ABCB6",3.773515,4.48009,4.341995,4.37399,4.12116
"ABCB9",3.79017,3.59904,3.5731,3.74571,3.87331
"ABCD3",5.76688,5.54378,5.90292,5.92112,5.91429
"ABCE1",6.14816,5.81724,6.02021,6.12385,5.95
"ABCG5",2.90215,2.95609,3.11862,3.03909,3.01225
"ABCG8",3.22617,3.62,3.58859,3.68665,3.24721
"ABHD10",5.71989,5.11008,5.56223,5.28147,5.21218
"ABHD17A",7.25137666666667,7.05763666666667,7.09388666666667,7.29114,7.22292666666667
"ABI2",4.95659,5.11046,4.82505,5.11394,5.14825
"ABI3BP",3.28417,3.40693,3.4359,3.44056,3.32997
"ABITRAM",5.44138,5.13585,5.27568,4.81552,5.22524
"ACAA2",5.82075,5.81641,5.90255,5.86116,5.56568
"ACAP2",8.11539,7.92251,8.17149,7.61625,8.18358
"ACAP2-IT1",6.41697,6.62057,6.67455,6.24752,6.75348
